2024-10-08 12:39:42,592 INFO    MainThread:357181 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_setup.py:_flush():79] Configure stats pid to 357181
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_setup.py:_flush():79] Loading settings from /home/newuser/.config/wandb/settings
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_setup.py:_flush():79] Loading settings from /home/newuser/Desktop/Honda/ccai/examples/wandb/settings
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'examples/train_value_function.py', 'program_abspath': '/home/newuser/Desktop/Honda/ccai/examples/train_value_function.py', 'program': 'train_value_function.py'}
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_init.py:_log_setup():532] Logging user logs to /home/newuser/Desktop/Honda/ccai/examples/wandb/run-20241008_123942-fo9ajh80/logs/debug.log
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_init.py:_log_setup():533] Logging internal logs to /home/newuser/Desktop/Honda/ccai/examples/wandb/run-20241008_123942-fo9ajh80/logs/debug-internal.log
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_init.py:init():617] calling init triggers
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'epochs': 1000, 'batch_size': 64, 'learning_rate': 0.0001}
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_init.py:init():667] starting backend
2024-10-08 12:39:42,593 INFO    MainThread:357181 [wandb_init.py:init():671] sending inform_init request
2024-10-08 12:39:42,594 INFO    MainThread:357181 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-08 12:39:42,594 INFO    MainThread:357181 [wandb_init.py:init():684] backend started and connected
2024-10-08 12:39:42,597 INFO    MainThread:357181 [wandb_init.py:init():779] updated telemetry
2024-10-08 12:39:42,615 INFO    MainThread:357181 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-08 12:39:42,767 INFO    MainThread:357181 [wandb_init.py:init():863] starting run threads in backend
2024-10-08 12:39:42,895 INFO    MainThread:357181 [wandb_run.py:_console_start():2465] atexit reg
2024-10-08 12:39:42,895 INFO    MainThread:357181 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-08 12:39:42,896 INFO    MainThread:357181 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-08 12:39:42,896 INFO    MainThread:357181 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-08 12:39:42,898 INFO    MainThread:357181 [wandb_init.py:init():907] run started, returning control to user process
2024-10-08 12:39:42,935 WARNING MsgRouterThr:357181 [router.py:message_loop():77] message_loop has been closed
